class_exam_cd,exam_id,uni_name,unit_id,subject_name,subject_id,chapter_name,chapter_id,topic_id,topic_name,topic_priority,topic_sequence
NEET,2,Diversity In The Living World,49,Biology,4,The living world,622,4335,What is 'living' ?,4,1
NEET,2,Diversity In The Living World,49,Biology,4,The living world,622,4336,Diversity in the living world,3,2
NEET,2,Diversity In The Living World,49,Biology,4,The living world,622,4337,Taxonomic categories,2,3
NEET,2,Diversity In The Living World,49,Biology,4,The living world,622,4338,Taxonomical aids,1,4
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4339,Kingdom Classification,5,1
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4340,Kingdom Monera,1,2
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4341,Kingdom Protista,4,3
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4342,Kingdom Fungi,2,4
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4343,Kingdom Plantae,6,6
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4344,Kingdom Animalia,7,7
NEET,2,Diversity In The Living World,49,Biology,4,Biological Classification,624,4345,"Viruses, Viroids and Lichens",3,5
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4346,Classification system,4,1
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4347,Algae (Thallophytes),3,2
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4348,Bryophytes,5,3
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4349,Pteridophytes,7,4
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4350,Gymnosperms,6,5
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4351,Angiosperms,1,6
NEET,2,Diversity In The Living World,49,Biology,4,Plant Kingdom,587,4352,Plant life cycles and Alternation of generation,2,7
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4353,Basis of Classification,2,1
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4354,Classification of Animals :,3,2
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4355,1. Phylum Porifera,10,3
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4356,2. Phylum Coelenterata (Cnidaria),5,4
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4357,3. Phylum Ctenophora,6,5
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4358,4. Phylum Platyhelminthes,7,6
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4359,5. Phylum Aschelminthes,8,7
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4360,6. Phylum Annelida,9,8
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4361,7. Phylum Arthropoda,4,9
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4362,8. Phylum Mollusca,11,10
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4363,9. Phylum Echinodermata,12,11
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4364,10. Phylum Hemichordata,13,12
NEET,2,Diversity In The Living World,49,Biology,4,Animal Kingdom,588,4365,11. Phylum Chordata,1,13
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4366,The Root,8,2
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4367,The Stem,6,1
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4368,The Leaf,7,3
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4369,The Inflorescence,3,5
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4370,The Flower,2,4
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4371,The Fruit,1,7
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4372,The Seed,4,6
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Morphology of flowering plants,589,4373,Description of Some Important families,5,8
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Anatomy of Flowering Plants,625,4374,The tissues,1,2
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Anatomy of Flowering Plants,625,4375,The tissue system,4,1
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Anatomy of Flowering Plants,625,4376,Anatomy of Dicotyledonous and Monocotyledonous plants,2,3
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Anatomy of Flowering Plants,625,4377,Secondary growth,3,4
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Structural Organization in Animals,590,4379,Organ and Organ system,2,2
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Structural Organization in Animals,590,4380,Earthworm,3,3
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Structural Organization in Animals,590,4381,Cockroach,4,4
NEET,2,Structural Organization in Plants and Animals,50,Biology,4,Structural Organization in Animals,590,4382,Frog,5,5
NEET,2,Cell : Structure and Functions,51,Biology,4,Cell-The Unit of Life,626,4383,What is a cell ?,4,2
NEET,2,Cell : Structure and Functions,51,Biology,4,Cell-The Unit of Life,626,4384,Cell Theory,3,3
