class_exam_cd,exam_id,uni_name,unit_id,subject_name,subject_id,chapter_name,chapter_id,topic_id,topic_name,topic_priority,topic_sequence
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3136,Coordination Compounds and its Terminologies,9,1
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3137,Werner's Theory,7,2
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3138,Ligands and their Types,8,3
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3139,Chelation,4,4
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3140,Nomenclature of Coordination Compounds,5,5
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3141,Isomerism and its Types in Coordination Compounds,3,6
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3142,Valence Bond Theory,2,7
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3143,Crystal Field Theory,1,8
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3144,Chelation and Stability in Coordination Compounds,6,4
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3145,Applications of Coordination Compounds,11,10
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,Coordination Compounds,264,3146,Metal Carbonyls,10,11
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3147,Introduction of d- and f-Block Elements,8,1
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3148,Properties of d-Block Elements,5,2
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3149,Important Compounds of Transition Metals,4,3
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3150,Introduction of Lanthanoids,6,4
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3151,Properties of Lanthanoids,1,5
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3152,Introduction of Actinoids,7,6
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3153,Properties of Actinoids,2,7
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3154,Lanthanoids and Actinoids,3,8
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,The d- and f-Block Elements,266,3155,d-Block and f-Block Elements Uses,9,9
JEE,1,Inorganic Chemistry(IOC-2),2,Chemistry,3,"The P-Block Elements (Group-15, 16, 17, 18)",265,3156,p-Block Elements,13,1
