,question_id,subject_id,topic_id,difficulty_level,skill_id,concept_level
0,2049,1,0.0,2,0.0,H
1,2050,1,0.0,2,0.0,H
2,2052,2,538.0,2,4.0,H
3,2054,1,535.0,2,2.0,H
4,2055,1,529.0,2,0.0,H
5,2056,1,0.0,2,0.0,H
6,2057,1,529.0,2,0.0,H
7,2058,2,986.0,2,4.0,H
8,2059,2,0.0,2,0.0,H
9,2060,2,986.0,2,4.0,H
10,2061,2,545.0,2,2.0,H
11,2063,2,981.0,2,2.0,H
12,2065,3,0.0,2,0.0,H
13,2066,2,986.0,2,4.0,H
14,2068,2,545.0,2,2.0,H
15,2070,2,548.0,2,2.0,H
16,2076,1,528.0,2,3.0,H
17,2081,2,553.0,2,2.0,H
18,2082,2,538.0,2,4.0,H
19,2083,2,539.0,2,2.0,H
20,2084,2,538.0,2,4.0,H
21,2085,2,544.0,2,4.0,H
22,2086,2,542.0,2,4.0,H
23,2088,2,540.0,2,4.0,H
24,2090,2,540.0,2,4.0,H
25,2093,2,541.0,2,4.0,H
26,2094,2,537.0,2,2.0,H
27,2095,2,548.0,2,2.0,H
28,2096,2,981.0,2,4.0,H
29,2097,2,540.0,2,4.0,H
30,2098,2,538.0,2,4.0,H
31,2099,2,542.0,2,4.0,H
32,2100,2,547.0,2,2.0,H
33,2101,2,537.0,2,4.0,H
34,2102,2,541.0,2,4.0,H
35,2103,2,996.0,2,4.0,H
36,2104,2,982.0,2,4.0,H
37,2105,2,550.0,2,2.0,H
38,2106,2,545.0,2,2.0,H
39,2107,2,549.0,2,2.0,H
40,2108,2,544.0,2,4.0,H
41,2109,2,549.0,2,2.0,H
42,2112,2,996.0,2,2.0,H
43,2118,2,537.0,2,2.0,H
44,2119,2,981.0,2,4.0,H
45,2120,2,538.0,2,4.0,H
46,2121,2,547.0,2,2.0,H
47,2125,2,553.0,2,2.0,H
48,2126,2,538.0,2,4.0,H
49,2127,2,539.0,2,2.0,H
50,2128,2,540.0,2,4.0,H
51,2129,2,544.0,2,4.0,H
52,2130,2,538.0,2,4.0,H
53,2131,2,547.0,2,2.0,H
54,2133,2,542.0,2,4.0,H
55,2136,2,537.0,2,2.0,H
56,2139,2,540.0,2,4.0,H
57,2140,2,545.0,2,2.0,H
58,2144,2,540.0,2,4.0,H
59,2145,2,538.0,2,4.0,H
60,2148,2,996.0,2,4.0,H
61,2149,2,542.0,2,4.0,H
62,2151,2,537.0,2,4.0,H
63,2156,1,521.0,2,0.0,H
64,2160,1,526.0,2,2.0,H
65,2161,1,525.0,2,4.0,H
66,2162,1,530.0,2,2.0,H
67,2167,1,531.0,2,4.0,H
68,2170,1,523.0,2,4.0,H
69,2172,1,529.0,2,2.0,H
70,2179,1,531.0,2,2.0,H
71,2181,3,3212.0,0,5.0,L
72,2189,3,3148.0,1,2.0,M
73,2190,3,3190.0,1,2.0,M
74,2191,3,3246.0,2,5.0,H
75,2194,3,3172.0,1,5.0,M
76,2196,3,3399.0,0,5.0,L
77,2197,3,3286.0,1,3.0,M
78,2198,3,3357.0,1,2.0,M
79,2202,2,986.0,2,0.0,H
80,2203,3,3394.0,1,2.0,M
81,2204,3,3264.0,1,2.0,M
82,2205,3,3340.0,0,2.0,L
83,2207,3,3216.0,1,2.0,M
84,2208,3,3156.0,0,2.0,L
85,2210,3,3311.0,2,2.0,H
86,2212,3,3317.0,1,2.0,M
87,2214,2,0.0,2,0.0,H
88,2215,2,551.0,2,4.0,H
89,2218,2,0.0,2,0.0,H
90,2220,2,548.0,2,2.0,H
91,2222,2,548.0,2,2.0,H
